SCHOOL_YEAR,STATENAME,ST,SCH_NAME,NCESSCH,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,SY_STATUS,SY_STATUS_TEXT,CHARTER_TEXT,GSLO,GSHI,LEVEL
2016-2017,ARIZONA,AZ,Intelli-School Glendale,40036402985,13806 North 51st Avenue,,,Glendale,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Desert Marigold School,40036602302,6210 South 28th Street,,,Phoenix,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Pima Partnership School  The,40036702303,1346 North Stone Avenue,,,Tucson,AZ,1,Open,Yes,09,12,High
2016-2017,ARIZONA,AZ,Pima Prevention Partnership-Tucson,40036703531,924 N Alvernon Way,,,Tucson,AZ,3,New,Yes,09,12,High
2016-2017,ARIZONA,AZ,Academy of Math and Science,40036802037,1557 W Prince Rd,,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Midtown Primary School,40037001597,4735 North 19th Ave,,,Phoenix,AZ,1,Open,Yes,KG,05,Elementary
2016-2017,ARIZONA,AZ,Tucson International Academy,40037302311,2700 W. Broadway Blvd.,,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Tucson International Academy Midvale,40037302397,1625 W Valencia,#109,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,TIA West,40037302889,2700 W. Broadway Blvd.,,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,TIA East,40037302936,450 N. Pantano Rd.,,,Tucson,AZ,1,Open,Yes,KG,12,Other
2016-2017,ARIZONA,AZ,Imagine Bell Canyon,40037402169,18052 No. Black Canyon Hwy.,,,Phoenix,AZ,1,Open,Yes,KG,08,Elementary
2016-2017,ARIZONA,AZ,Imagine Cortez Park Middle,40037602313,3535 West Dunlap Avenue,,,Phoenix,AZ,1,Open,Yes,06,08,Middle
2016-2017,ARIZONA,AZ,Imagine West Gilbert Middle,40037702314,2061 S. Gilbert Rd.,,,Gilbert,AZ,1,Open,Yes,06,08,Middle
